id,question,option_a,option_b,option_c,option_d,correct_answer,difficulty,concept,explanation,hint
1,What is the main risk of a model that performs well on training data but poorly on test data?,Underfitting,Overfitting,Regularization,Normalization,B,0.2,Overfitting,Overfitting happens when a model learns the noise in the training data rather than the actual pattern.,Think about the difference between how a model performs on data it has seen (training) versus new data (testing).
2,Which metric is most appropriate for a binary classification problem with imbalanced classes?,Accuracy,F1-Score,Mean Squared Error,R-Squared,B,0.4,Metrics,Accuracy can be misleading in imbalanced datasets; F1-Score balances Precision and Recall.,"When classes are imbalanced, accuracy can be misleading. Consider metrics that account for both precision and recall."
3,"In Supervised Learning, the dataset consists of?",Input data only,Output labels only,Input data and Output labels,None of the above,C,0.1,Supervised,Supervised learning requires input-output pairs to map functions from inputs to labels.,Supervised learning uses labeled examples to learn patterns. What does 'supervised' imply about the data?
4,What does a high learning rate often lead to?,Faster convergence,Stable training,Overshooting the minimum,Vanishing gradients,C,0.3,Optimization,A learning rate that is too high can cause the optimizer to overshoot the global minimum and fail to converge.,Learning rate controls step size. Too high means overshooting; too low means slow convergence.
5,Which algorithm is typically used for clustering?,Linear Regression,Decision Trees,K-Means,Logistic Regression,C,0.2,Unsupervised,K-Means is a centroid-based algorithm used to partition data into K clusters.,Supervised learning uses labeled examples to learn patterns. What does 'supervised' imply about the data?
6,Which of the following is an example of Unsupervised Learning?,Spam detection,House price prediction,Customer segmentation,Medical diagnosis,C,0.2,Unsupervised,Customer segmentation often uses clustering to find hidden patterns without labeled data.,Supervised learning uses labeled examples to learn patterns. What does 'supervised' imply about the data?
7,What is the purpose of a validation set?,To train the model,To tune hyperparameters,To evaluate final performance,To preprocess data,B,0.3,Methodology,The validation set is used to tune hyperparameters and prevent overfitting before final testing.,Consider the key concept: Methodology. Think about how it relates to the question and options.
8,Which activation function outputs a value between 0 and 1?,ReLU,Tanh,Sigmoid,Leaky ReLU,C,0.3,Neural Networks,"The Sigmoid function squashes numbers to range [0, 1], making it useful for probability estimation.",Neural networks use activation functions to introduce non-linearity. Consider what Neural Networks does.
9,What happens to bias and variance when you increase model complexity?,Bias increases Variance decreases,Bias decreases Variance increases,Both increase,Both decrease,B,0.6,Overfitting,More complex models fit training data better (lower bias) but fluctuate more on unseen data (higher variance).,Think about the difference between how a model performs on data it has seen (training) versus new data (testing).
10,L1 Regularization is also known as?,Ridge Regression,Lasso Regression,Elastic Net,Dropout,B,0.5,Overfitting,Lasso (L1) adds the absolute value of magnitude of coefficient as penalty term to the loss function.,Think about the difference between how a model performs on data it has seen (training) versus new data (testing).
11,Which metric is used to evaluate a Regression model like $y = mx + c$?,Accuracy,F1-Score,Mean Squared Error (MSE),AUC-ROC,C,0.2,Metrics,MSE measures the average squared difference between the estimated values and the actual value.,"For regression problems, think about how to measure the difference between predicted and actual continuous values."
12,What is the role of the cost function $J(\theta)$?,To visualize data,To measure how wrong the model is,To initialize weights,To split the dataset,B,0.2,Optimization,The cost function quantifies the error between predicted and actual values.,The cost function measures prediction error. Lower cost means better predictions.
13,Which of the following is a parametric model?,K-Nearest Neighbors,Decision Trees,Linear Regression,Random Forest,C,0.5,Theory,Parametric models summarize data with a fixed set of parameters (like weights in Linear Regression).,Parametric models use a fixed set of parameters (like weights) to represent the data.
14,"In a Confusion Matrix, what does True Positive (TP) mean?",Correctly predicted positive,Incorrectly predicted positive,Correctly predicted negative,Incorrectly predicted negative,A,0.3,Metrics,True Positive means the model correctly predicted the positive class.,True Positive means the model correctly predicted the positive class. Think about what 'True' and 'Positive' mean.
15,Gradient Descent is an algorithm used for?,Clustering,Optimization,Regularization,Data Cleaning,B,0.2,Optimization,Gradient Descent is an iterative optimization algorithm for finding the local minimum of a differentiable function.,Gradient descent finds the minimum by following the steepest descent direction. SGD uses one sample at a time.
16,Which technique helps to reduce overfitting?,Adding more features,Increasing model complexity,Early Stopping,Removing the test set,C,0.4,Overfitting,Early stopping halts training when validation performance stops improving.,Think about the difference between how a model performs on data it has seen (training) versus new data (testing).
17,What does PCA (Principal Component Analysis) do?,Increases dimensionality,Reduces dimensionality,Classifies data,Clusters data,B,0.5,Unsupervised,PCA reduces the dimensionality of data while retaining most of the variation in the dataset.,Supervised learning uses labeled examples to learn patterns. What does 'supervised' imply about the data?
18,The vanishing gradient problem is most common in which activation function?,ReLU,Sigmoid,Leaky ReLU,Softmax,B,0.6,Neural Networks,"Sigmoid derivatives are small (<0.25), causing gradients to vanish as they propagate back through many layers.","Some activation functions have very small derivatives, causing gradients to shrink as they propagate backward."
19,What is the output of a Softmax function?,A single class label,A probability distribution,A regression value,A binary value,B,0.4,Neural Networks,Softmax converts a vector of numbers into a vector of probabilities summing to one.,Softmax converts raw scores into a probability distribution that sums to 1.
20,K-Fold Cross-Validation is used to?,Train the model faster,Estimate model performance reliably,Remove outliers,Increase dataset size,B,0.4,Methodology,K-Fold provides a more robust estimate of model performance by averaging results over K subsets.,Cross-validation splits data into K folds to get a more reliable performance estimate by averaging results.
21,Which of these is an ensemble learning method?,SVM,Decision Tree,Random Forest,Logistic Regression,C,0.4,Supervised,"Random Forest is an ensemble of Decision Trees, generally reducing variance.",Supervised learning uses labeled examples to learn patterns. What does 'supervised' imply about the data?
22,"In K-Means clustering, what does 'K' represent?",Number of iterations,Number of clusters,Number of data points,Learning rate,B,0.2,Unsupervised,K represents the number of clusters the algorithm will attempt to find.,Supervised learning uses labeled examples to learn patterns. What does 'supervised' imply about the data?
23,Which algorithm constructs a hyperplane to separate classes?,K-Means,SVM (Support Vector Machine),Apriori,Linear Regression,B,0.5,Supervised,SVM finds the hyperplane that maximizes the margin between the two classes.,Supervised learning uses labeled examples to learn patterns. What does 'supervised' imply about the data?
24,What is the range of the Tanh activation function?,0 to 1,-1 to 1,0 to infinity,-infinity to infinity,B,0.3,Neural Networks,"Tanh outputs values between -1 and 1, making it zero-centered unlike Sigmoid.","Tanh is similar to sigmoid but outputs values between -1 and 1, making it zero-centered."
25,Underfitting typically occurs when?,The model is too complex,The model is too simple,The dataset is too large,The learning rate is too low,B,0.2,Overfitting,Underfitting occurs when the model is not complex enough to capture the underlying pattern of the data.,Think about the difference between how a model performs on data it has seen (training) versus new data (testing).
26,Which value of AUC (Area Under Curve) indicates a random classifier?,0,0.5,1,0.1,B,0.5,Metrics,An AUC of 0.5 represents a model with no discrimination capacity (random guessing).,AUC measures the classifier's ability to distinguish between classes. What value would indicate random guessing?
27,Stochastic Gradient Descent (SGD) updates weights using?,The entire dataset,A single sample at a time,A mini-batch,The validation set,B,0.4,Optimization,"SGD updates parameters for each training example, making it faster but noisier.",Gradient descent finds the minimum by following the steepest descent direction. SGD uses one sample at a time.
28,Which problem does the 'Kernel Trick' solve in SVM?,Overfitting,Non-linear separability,High computational cost,Missing values,B,0.7,Supervised,The Kernel Trick allows SVMs to solve non-linear problems by mapping data to a higher-dimensional space.,Supervised learning uses labeled examples to learn patterns. What does 'supervised' imply about the data?
29,Bagging (Bootstrap Aggregating) is primarily used to reduce?,Bias,Variance,Computation time,Data noise,B,0.6,Theory,"Bagging reduces variance and helps to avoid overfitting (e.g., in Random Forests).",Ensemble methods combine multiple models. Random Forest uses many decision trees and averages their predictions.
30,Which layer in a CNN is used to reduce spatial dimensions?,Convolutional Layer,Pooling Layer,Fully Connected Layer,Dropout Layer,B,0.4,Neural Networks,Pooling layers (like Max Pooling) downsample the feature maps to reduce dimensions and computation.,Pooling layers reduce spatial dimensions by downsampling feature maps.
31,A decision tree with unlimited depth is prone to?,Underfitting,Overfitting,High Bias,Convergence,B,0.3,Supervised,"Unlimited depth allows the tree to memorize the training data, leading to overfitting.",Supervised learning uses labeled examples to learn patterns. What does 'supervised' imply about the data?
32,What is the main advantage of ReLU over Sigmoid?,Outputs are bounded,Fixes exploding gradients,Computationally efficient and avoids vanishing gradient,Smooth gradient,C,0.5,Neural Networks,"ReLU is faster to compute and does not saturate for positive values, avoiding the vanishing gradient problem.","Sigmoid outputs values between 0 and 1, making it useful for probability estimation."
33,"In NLP, what does 'Tokenization' refer to?",Splitting text into words or subwords,Removing stop words,Converting words to vectors,Translating text,A,0.3,NLP,Tokenization is the process of breaking text down into smaller units called tokens.,Tokenization breaks text into smaller units (tokens) like words or subwords for processing.
34,Which loss function is used for Binary Classification?,Mean Squared Error,Cross-Entropy Loss,Hinge Loss,Huber Loss,B,0.4,Optimization,Binary Cross-Entropy Loss is the standard loss function for binary classification problems.,Optimization aims to find the best parameters. Consider what Optimization means in the context of machine learning.
35,Which concept describes the trade-off between Precision and Recall?,F1-Score,Accuracy,MSE,R-Squared,A,0.3,Metrics,There is often an inverse relationship between Precision and Recall; F1-Score captures this trade-off.,F1-Score balances precision and recall. Consider the trade-off between these two metrics.
36,Dropout is a technique used for?,Optimization,Regularization,Data Augmentation,Feature Selection,B,0.4,Overfitting,Dropout randomly ignores some neurons during training to prevent co-adaptation and overfitting.,Think about the difference between how a model performs on data it has seen (training) versus new data (testing).
37,Naive Bayes assumes that features are?,Highly correlated,Independent,Continuous,Categorical only,B,0.5,Supervised,Naive Bayes makes the 'naive' assumption that all features are independent given the class label.,Supervised learning uses labeled examples to learn patterns. What does 'supervised' imply about the data?
38,What does the 'k' in k-NN (k-Nearest Neighbors) stand for?,Number of clusters,Number of neighbors to consider,Number of features,Number of classes,B,0.2,Supervised,k is the number of nearest neighbors to look at when voting for a class label.,Supervised learning uses labeled examples to learn patterns. What does 'supervised' imply about the data?
39,Which approach learns by interacting with an environment?,Supervised Learning,Unsupervised Learning,Reinforcement Learning,Transfer Learning,C,0.4,Theory,RL involves an agent taking actions in an environment to maximize cumulative reward.,Think about the fundamental concepts of Theory in machine learning.
40,What is the purpose of Data Normalization?,To convert text to numbers,To scale features to a similar range,To remove missing values,To reduce dimensionality,B,0.3,Preprocessing,"Normalization ensures all input features have a similar scale, helping Gradient Descent converge faster.","Normalization scales features to a similar range, helping optimization algorithms converge faster."
41,A high F1-score indicates?,High precision and low recall,Low precision and high recall,Balance between precision and recall,High accuracy only,C,0.5,Metrics,A high F1-score implies both high Precision and high Recall.,"When classes are imbalanced, accuracy can be misleading. Consider metrics that account for both precision and recall."
42,Which algorithm is not suitable for non-linear data without kernels?,Decision Trees,Random Forest,Linear Regression,K-NN,C,0.3,Supervised,Standard Linear Regression assumes a linear relationship and cannot fit complex non-linear data well.,Supervised learning uses labeled examples to learn patterns. What does 'supervised' imply about the data?
43,What is a Hyperparameter?,A parameter learned during training,A setting defined before training,A weight in the neural network,An evaluation metric,B,0.3,Theory,Hyperparameters (like learning rate or K) are set before learning begins.,"Hyperparameters are set before training begins, unlike model parameters which are learned during training."
44,Which step is NOT part of data preprocessing?,Normalization,Feature Selection,Weight Initialization,Handling Missing Values,C,0.4,Preprocessing,"Weight Initialization happens inside the model training process, not during data preprocessing.",Preprocessing prepares data for machine learning. Consider what Preprocessing does to the data.
45,Elbow Method is used to find optimal K in which algorithm?,KNN,K-Means,SVM,Decision Trees,B,0.4,Unsupervised,The Elbow Method plots variance against K to find the 'elbow' point where adding clusters yields diminishing returns.,Supervised learning uses labeled examples to learn patterns. What does 'supervised' imply about the data?
46,Which type of learning uses labeled data?,Supervised,Unsupervised,Reinforcement,Clustering,A,0.1,Supervised,Supervised learning relies on input-output pairs (labels) for training.,Supervised learning requires both input data and corresponding output labels to learn the mapping.
